File: FE2.TRK
Size: 37330944 bytes

reached end of file!
Chunk 0 0 | CTRL | (24 bytes)
Chunk 1 0 | SHOC | (60 bytes)
Chunk 2 0 | SHOC | (24 bytes)
Chunk 3 0 | SHOC | (60 bytes)
Chunk 4 0 | SHOC | (7032 bytes)
Chunk 5 0 | SHOC | (60 bytes)
Chunk 6 0 | SHOC | (804 bytes)
Chunk 7 0 | SHOC | (60 bytes)
Chunk 8 0 | SHOC | (764 bytes)
Chunk 9 0 | SHOC | (60 bytes)
Chunk 10 0 | SHOC | (8188 bytes)
Chunk 11 0 | FILL | (7440 bytes)
Chunk 12 0 | SHOC | (8192 bytes)
Chunk 13 0 | SHOC | (8188 bytes)
Chunk 14 0 | SHOC | (8192 bytes)
Chunk 15 BFFC | FILL | (0 bytes)
Chunk 16 0 | SHOC | (8188 bytes)
Chunk 17 0 | SHOC | (8188 bytes)
Chunk 18 0 | SHOC | (8192 bytes)
Chunk 19 0 | FILL | (8 bytes)
Chunk 20 0 | SHOC | (8188 bytes)
Chunk 21 0 | SHOC | (8188 bytes)
Chunk 22 0 | SHOC | (8188 bytes)
Chunk 23 0 | FILL | (12 bytes)
Chunk 24 0 | SHOC | (8188 bytes)
Chunk 25 0 | SHOC | (8188 bytes)
Chunk 26 0 | SHOC | (8192 bytes)
Chunk 27 0 | FILL | (8 bytes)
Chunk 28 0 | SHOC | (8188 bytes)
Chunk 29 0 | SHOC | (8188 bytes)
Chunk 30 0 | SHOC | (8188 bytes)
Chunk 31 0 | FILL | (12 bytes)
Chunk 32 0 | SHOC | (8192 bytes)
Chunk 33 0 | SHOC | (8188 bytes)
Chunk 34 0 | SHOC | (8188 bytes)
Chunk 35 0 | FILL | (8 bytes)
Chunk 36 0 | SHOC | (8188 bytes)
Chunk 37 0 | SHOC | (8188 bytes)
Chunk 38 0 | SHOC | (8188 bytes)
Chunk 39 0 | FILL | (12 bytes)
Chunk 40 0 | SHOC | (8188 bytes)
Chunk 41 0 | SHOC | (8188 bytes)
Chunk 42 0 | SHOC | (8188 bytes)
Chunk 43 0 | FILL | (12 bytes)
Chunk 44 0 | SHOC | (8188 bytes)
Chunk 45 0 | SHOC | (8188 bytes)
Chunk 46 0 | SHOC | (8192 bytes)
Chunk 47 0 | FILL | (8 bytes)
Chunk 48 0 | SHOC | (8188 bytes)
Chunk 49 0 | SHOC | (8188 bytes)
Chunk 50 0 | SHOC | (8188 bytes)
Chunk 51 0 | FILL | (12 bytes)
Chunk 52 0 | SHOC | (8188 bytes)
Chunk 53 0 | SHOC | (8188 bytes)
Chunk 54 0 | SHOC | (8188 bytes)
Chunk 55 0 | FILL | (12 bytes)
Chunk 56 0 | SHOC | (8192 bytes)
Chunk 57 0 | SHOC | (8188 bytes)
Chunk 58 0 | SHOC | (8188 bytes)
Chunk 59 0 | FILL | (8 bytes)
Chunk 60 0 | SHOC | (8192 bytes)
Chunk 61 0 | SHOC | (8192 bytes)
Chunk 62 0 | SHOC | (8192 bytes)
Chunk 63 0 | SHOC | (8192 bytes)
Chunk 64 0 | SHOC | (8192 bytes)
Chunk 65 0 | SHOC | (8192 bytes)
Chunk 66 0 | SHOC | (8192 bytes)
Chunk 67 0 | SHOC | (8188 bytes)
Chunk 68 0 | SHOC | (8188 bytes)
Chunk 69 0 | FILL | (8 bytes)
Chunk 70 0 | SHOC | (8188 bytes)
Chunk 71 0 | SHOC | (8188 bytes)
Chunk 72 0 | SHOC | (8188 bytes)
Chunk 73 0 | FILL | (12 bytes)
Chunk 74 0 | SHOC | (8188 bytes)
Chunk 75 0 | SHOC | (8188 bytes)
Chunk 76 0 | SHOC | (8188 bytes)
Chunk 77 0 | FILL | (12 bytes)
Chunk 78 0 | SHOC | (8192 bytes)
Chunk 79 0 | SHOC | (8192 bytes)
Chunk 80 0 | SHOC | (8188 bytes)
Chunk 81 71FFC | FILL | (0 bytes)
Chunk 82 0 | SHOC | (8192 bytes)
Chunk 83 0 | SHOC | (8192 bytes)
Chunk 84 0 | SHOC | (8192 bytes)
Chunk 85 0 | SHOC | (7884 bytes)
Chunk 86 0 | SHOC | (60 bytes)
Chunk 87 0 | SHOC | (8188 bytes)
Chunk 88 0 | SHOC | (8192 bytes)
Chunk 89 0 | FILL | (252 bytes)
Chunk 90 0 | SHOC | (8192 bytes)
Chunk 91 0 | SHOC | (8192 bytes)
Chunk 92 0 | SHOC | (8192 bytes)
Chunk 93 0 | SHOC | (4432 bytes)
Chunk 94 0 | SHOC | (60 bytes)
Chunk 95 0 | SHOC | (8188 bytes)
Chunk 96 0 | SHOC | (8192 bytes)
Chunk 97 0 | FILL | (3704 bytes)
Chunk 98 0 | SHOC | (8188 bytes)
Chunk 99 0 | SHOC | (8188 bytes)
Chunk 100 0 | SHOC | (6312 bytes)
Chunk 101 0 | SHOC | (60 bytes)
Chunk 102 0 | FILL | (1828 bytes)
Chunk 103 0 | SHOC | (8188 bytes)
Chunk 104 0 | SHOC | (8192 bytes)
Chunk 105 0 | SHOC | (8192 bytes)
Chunk 106 95FFC | FILL | (0 bytes)
Chunk 107 0 | SHOC | (8192 bytes)
Chunk 108 0 | SHOC | (8192 bytes)
Chunk 109 0 | SHOC | (8192 bytes)
Chunk 110 0 | SHOC | (6372 bytes)
Chunk 111 0 | SHOC | (60 bytes)
Chunk 112 0 | SHOC | (8188 bytes)
Chunk 113 0 | SHOC | (8192 bytes)
Chunk 114 0 | FILL | (1764 bytes)
Chunk 115 0 | SHOC | (8192 bytes)
Chunk 116 0 | SHOC | (8192 bytes)
Chunk 117 0 | SHOC | (8192 bytes)
Chunk 118 0 | SHOC | (8064 bytes)
Chunk 119 0 | SHOC | (60 bytes)
Chunk 120 0 | SHOC | (8188 bytes)
Chunk 121 0 | SHOC | (8192 bytes)
Chunk 122 0 | FILL | (72 bytes)
Chunk 123 0 | SHOC | (8192 bytes)
Chunk 124 0 | SHOC | (8192 bytes)
Chunk 125 0 | SHOC | (8192 bytes)
Chunk 126 0 | SHOC | (8192 bytes)
Chunk 127 0 | SHOC | (2644 bytes)
Chunk 128 0 | SHOC | (60 bytes)
Chunk 129 0 | SHOC | (8188 bytes)
Chunk 130 0 | FILL | (5492 bytes)
Chunk 131 0 | SHOC | (8188 bytes)
Chunk 132 0 | SHOC | (8188 bytes)
Chunk 133 0 | SHOC | (8188 bytes)
Chunk 134 0 | FILL | (12 bytes)
Chunk 135 0 | SHOC | (8188 bytes)
Chunk 136 0 | SHOC | (8188 bytes)
Chunk 137 0 | SHOC | (8188 bytes)
Chunk 138 0 | FILL | (12 bytes)
Chunk 139 0 | SHOC | (8188 bytes)
Chunk 140 0 | SHOC | (8188 bytes)
Chunk 141 0 | SHOC | (8188 bytes)
Chunk 142 0 | FILL | (12 bytes)
Chunk 143 0 | SHOC | (8188 bytes)
Chunk 144 0 | SHOC | (8188 bytes)
Chunk 145 0 | SHOC | (8188 bytes)
Chunk 146 0 | FILL | (12 bytes)
Chunk 147 0 | SHOC | (8192 bytes)
Chunk 148 0 | SHOC | (916 bytes)
Chunk 149 0 | SHOC | (60 bytes)
Chunk 150 0 | SHOC | (300 bytes)
Chunk 151 0 | SHOC | (60 bytes)
Chunk 152 0 | SHOC | (372 bytes)
Chunk 153 0 | SHOC | (60 bytes)
Chunk 154 0 | SHOC | (8188 bytes)
Chunk 155 0 | FILL | (6428 bytes)
Chunk 156 0 | SHOC | (8188 bytes)
Chunk 157 0 | SHOC | (8188 bytes)
Chunk 158 0 | SHOC | (8188 bytes)
Chunk 159 0 | FILL | (12 bytes)
Chunk 160 0 | SHOC | (8192 bytes)
Chunk 161 0 | SHOC | (8192 bytes)
Chunk 162 0 | SHOC | (8192 bytes)
Chunk 163 0 | SHOC | (8192 bytes)
Chunk 164 0 | SHOC | (8192 bytes)
Chunk 165 0 | SHOC | (8192 bytes)
Chunk 166 0 | SHOC | (8188 bytes)
Chunk 167 0 | SHOC | (8188 bytes)
Chunk 168 0 | SHOC | (8192 bytes)
Chunk 169 0 | FILL | (8 bytes)
Chunk 170 0 | SHOC | (8188 bytes)
Chunk 171 0 | SHOC | (8192 bytes)
Chunk 172 0 | SHOC | (8188 bytes)
Chunk 173 0 | FILL | (8 bytes)
Chunk 174 0 | SHOC | (8188 bytes)
Chunk 175 0 | SHOC | (8192 bytes)
Chunk 176 0 | SHOC | (8188 bytes)
Chunk 177 0 | FILL | (8 bytes)
Chunk 178 0 | SHOC | (4164 bytes)
Chunk 179 0 | SHOC | (60 bytes)
Chunk 180 0 | SHOC | (8188 bytes)
Chunk 181 0 | SHOC | (8188 bytes)
Chunk 182 0 | FILL | (3976 bytes)
Chunk 183 0 | SHOC | (8188 bytes)
Chunk 184 0 | SHOC | (8188 bytes)
Chunk 185 0 | SHOC | (8192 bytes)
Chunk 186 0 | FILL | (8 bytes)
Chunk 187 0 | SHOC | (8188 bytes)
Chunk 188 0 | SHOC | (5536 bytes)
Chunk 189 0 | SHOC | (60 bytes)
Chunk 190 0 | SHOC | (8188 bytes)
Chunk 191 0 | FILL | (2604 bytes)
Chunk 192 0 | SHOC | (8188 bytes)
Chunk 193 0 | SHOC | (8188 bytes)
Chunk 194 0 | SHOC | (7592 bytes)
Chunk 195 0 | SHOC | (60 bytes)
Chunk 196 0 | FILL | (548 bytes)
Chunk 197 0 | SHOC | (8188 bytes)
Chunk 198 0 | SHOC | (7380 bytes)
Chunk 199 0 | SHOC | (60 bytes)
Chunk 200 0 | SHOC | (7304 bytes)
Chunk 201 0 | SHOC | (60 bytes)
Chunk 202 0 | SHOC | (76 bytes)
Chunk 203 0 | SHOC | (60 bytes)
Chunk 204 0 | FILL | (1448 bytes)
Chunk 205 0 | SHOC | (8188 bytes)
Chunk 206 0 | SHOC | (776 bytes)
Chunk 207 0 | SHOC | (60 bytes)
Chunk 208 0 | SHOC | (6756 bytes)
Chunk 209 0 | SHOC | (60 bytes)
Chunk 210 0 | SHOC | (8188 bytes)
